cod,diga,data,quota_autorizzata,volume_autorizzato,quota,volume,volume_utile
dig-01,Àncipa,2025-02-12,950.00,30410000.00,945.96,23283879.55,21283879.55
dig-03,Castello,2025-02-12,292.65,19493500.00,281.06,7220800.00,3692718.50
dig-07,Fanaco,2025-02-12,677.50,20700000.00,657.36,2657379.00,2071062.00
dig-09,Garcia (M. Francese),2025-02-12,190.00,61000000.00,175.67,14541000.00,8541000.00
dig-17,Piana Degli Albanesi,2025-02-12,609.00,25000000.00,601.24,7791249.67,5791249.67
dig-12,Leone,2025-02-12,828.00,4150000.00,825.35,2857500.00,1607500.00
dig-18,Poma,2025-02-12,195.60,72300000.00,180.48,22200000.00,14158825.50
dig-20,Prizzi,2025-02-12,638.00,9250000.00,630.43,2768517.40,1268517.40
dig-21,Ragoleto,2025-02-12,326.00,17160198.00,314.20,7100272.00,3599984.00
dig-22,Rosamarina,2025-02-12,164.00,73034250.00,141.52,15601675.36,6716588.55
dig-25,Santa Rosalia,2025-02-12,378.05,21080000.00,367.46,9846252.12,4841865.12
dig-26,Scanzano,2025-02-12,517.00,7312775.00,515.58,6075369.23,5050539.94
