cod,diga,data,quota_autorizzata,volume_autorizzato,quota,volume,volume_utile
dig-01,Àncipa,2025-10-05,950.00,30410000.00,938.36,15349427.56,13349427.56
dig-03,Castello,2025-10-05,292.65,19493500.00,276.77,4399200.00,770707.92
dig-07,Fanaco,2025-10-05,677.50,20700000.00,657.00,2531936.00,1945619.00
dig-09,Garcia (M. Francese),2025-10-05,190.00,61000000.00,171.70,8110000.00,2110000.00
dig-17,Piana Degli Albanesi,2025-10-05,609.00,25000000.00,600.65,7269458.31,5269458.31
dig-12,Leone,2025-10-05,828.00,4150000.00,824.46,2484000.00,1234000.00
dig-18,Poma,2025-10-05,195.60,72300000.00,178.13,17727500.00,9378511.00
dig-20,Prizzi,2025-10-05,638.00,9250000.00,626.89,1361873.33,11873.33
dig-21,Ragoleto,2025-10-05,326.00,17160198.00,310.61,4915462.00,1415174.00
dig-22,Rosamarina,2025-10-05,164.00,73034250.00,143.02,17921171.70,8903135.40
dig-25,Santa Rosalia,2025-10-05,378.05,20000000.00,367.21,9657584.12,4547028.12
dig-26,Scanzano,2025-10-05,517.00,7312775.00,513.63,4661319.16,3561050.18
