cod,diga,data,quota_autorizzata,volume_autorizzato,quota,volume,volume_utile
dig-01,Àncipa,2025-11-13,950.00,30410000.00,936.20,13355034.78,11355034.78
dig-03,Castello,2025-11-13,292.65,19493500.00,277.50,4823000.00,1254504.00
dig-07,Fanaco,2025-11-13,677.50,20700000.00,656.32,2304038.00,1717721.00
dig-09,Garcia (M. Francese),2025-11-13,190.00,61000000.00,170.39,6468000.00,468000.00
dig-17,Piana Degli Albanesi,2025-11-13,609.00,25000000.00,599.96,6439930.73,4439930.73
dig-12,Leone,2025-11-13,828.00,4150000.00,822.51,1753000.00,503000.00
dig-18,Poma,2025-11-13,195.60,72300000.00,177.04,15820000.00,7645506.00
dig-20,Prizzi,2025-11-13,638.00,9250000.00,626.72,1307849.45,0.00
dig-21,Ragoleto,2025-11-13,326.00,17160198.00,310.49,4828911.00,1328623.00
dig-22,Rosamarina,2025-11-13,164.00,73034250.00,142.17,16592809.00,7649628.00
dig-25,Santa Rosalia,2025-11-13,378.05,20000000.00,366.65,9240815.00,4195259.00
dig-26,Scanzano,2025-11-13,517.00,7312775.00,512.61,3990006.00,2929500.00
dig-31,Gammauta,2025-11-13,500.00,2000000.00,497.93,1766368.56,264896.56
