cod,diga,data,quota_autorizzata,volume_autorizzato,quota,volume,volume_utile
dig-01,Àncipa,2025-01-21,939.00,30410000.00,939.70,16672332.50,14672332.50
dig-03,Castello,2025-01-21,292.65,12493500.00,278.51,5457700.00,1929779.00
dig-07,Fanaco,2025-01-21,677.50,20700000.00,654.22,1698470.00,1698470.00
dig-09,Garcia (M. Francese),2025-01-21,190.00,61000000.00,174.66,12490000.00,6490000.00
dig-17,Piana Degli Albanesi,2025-01-21,609.00,25000000.00,600.88,7212232.35,5212232.35
dig-12,Leone,2025-01-21,828.00,4150000.00,823.65,2160000.00,910000.00
dig-18,Poma,2025-01-21,195.60,72300000.00,179.14,19495000.00,11451264.00
dig-20,Prizzi,2025-01-21,638.00,9250000.00,629.14,2190823.10,690823.10
dig-21,Ragoleto,2025-01-21,326.00,17160198.00,311.37,5339633.00,1839345.00
dig-22,Rosamarina,2025-01-21,164.00,73034250.00,140.20,13695073.54,4801117.54
dig-25,Santa Rosalia,2025-01-21,378.05,21080000.00,364.70,7863159.00,2869603.00
dig-26,Scanzano,2025-01-21,517.00,7312775.00,515.25,5823152.86,4798486.86
