cod,diga,data,quota_autorizzata,volume_autorizzato,quota,volume,volume_utile
dig-01,Àncipa,2025-02-26,950.00,30410000.00,947.55,24986267.11,22986267.11
dig-03,Castello,2025-02-26,292.65,19493500.00,282.87,8722800.00,5175137.00
dig-07,Fanaco,2025-02-26,677.50,20700000.00,659.08,3322841.00,2736524.00
dig-09,Garcia (M. Francese),2025-02-26,190.00,61000000.00,177.03,17672000.00,11672000.00
dig-17,Piana Degli Albanesi,2025-02-26,609.00,25000000.00,601.76,8536746.66,6536746.66
dig-12,Leone,2025-02-26,828.00,4150000.00,826.40,3330000.00,2080000.00
dig-18,Poma,2025-02-26,195.60,72300000.00,181.88,25700000.00,17617651.00
dig-20,Prizzi,2025-02-26,638.00,9250000.00,631.49,3302396.87,1802396.87
dig-21,Ragoleto,2025-02-26,326.00,17160198.00,315.43,7954931.00,4454643.00
dig-22,Rosamarina,2025-02-26,164.00,73034250.00,143.21,18227145.62,9325297.00
dig-25,Santa Rosalia,2025-02-26,378.05,21080000.00,369.64,11608376.88,6580158.88
dig-26,Scanzano,2025-02-26,517.00,7312775.00,516.14,6554451.83,5525535.26
