cod,diga,data,quota_autorizzata,volume_autorizzato,quota,volume,volume_utile
dig-01,Àncipa,2025-01-31,950.00,30410000.00,942.33,19403699.30,17403699.30
dig-03,Castello,2025-01-31,292.65,19493500.00,279.18,5906600.00,2359258.00
dig-07,Fanaco,2025-01-31,677.50,20700000.00,655.60,2080955.00,1494638.00
dig-09,Garcia (M. Francese),2025-01-31,190.00,61000000.00,174.82,12730000.00,6730000.00
dig-17,Piana Degli Albanesi,2025-01-31,609.00,25000000.00,600.96,7323342.81,5323342.81
dig-12,Leone,2025-01-31,828.00,4150000.00,824.26,2404000.00,1154000.00
dig-18,Poma,2025-01-31,195.60,72300000.00,179.54,20195000.00,12107528.00
dig-20,Prizzi,2025-01-31,638.00,9250000.00,629.69,2427361.96,927361.96
dig-21,Ragoleto,2025-01-31,326.00,17160198.00,311.56,5449116.00,1948828.00
dig-22,Rosamarina,2025-01-31,164.00,73034250.00,140.68,14376377.00,5456790.00
dig-25,Santa Rosalia,2025-01-31,378.05,21080000.00,364.65,7829103.00,2822547.00
dig-26,Scanzano,2025-01-31,517.00,7312775.00,515.30,5860806.00,4832216.00
