cod,diga,data,quota_autorizzata,volume_autorizzato,quota,volume,volume_utile
dig-01,Àncipa,2025-10-12,950.00,30410000.00,937.96,14966213.40,12966213.40
dig-03,Castello,2025-10-12,292.65,19493500.00,276.72,4371200.00,832702.00
dig-07,Fanaco,2025-10-12,677.50,20700000.00,656.82,2470429.00,1884112.00
dig-09,Garcia (M. Francese),2025-10-12,190.00,61000000.00,171.42,7746000.00,1746000.00
dig-17,Piana Degli Albanesi,2025-10-12,609.00,25000000.00,600.49,7065462.98,5065462.98
dig-12,Leone,2025-10-12,828.00,4150000.00,824.10,2340000.00,1090000.00
dig-18,Poma,2025-10-12,195.60,72300000.00,177.87,17272500.00,9185253.00
dig-20,Prizzi,2025-10-12,638.00,9250000.00,626.80,1333141.49,0.00
dig-21,Ragoleto,2025-10-12,326.00,17160198.00,310.45,4828911.00,1328623.00
dig-22,Rosamarina,2025-10-12,164.00,73034250.00,142.74,17477585.00,8571832.00
dig-25,Santa Rosalia,2025-10-12,378.05,20000000.00,367.03,9521743.00,4508687.00
dig-26,Scanzano,2025-10-12,517.00,7312775.00,513.44,4532772.00,3492148.00
