cod,diga,data,quota_autorizzata,volume_autorizzato,quota,volume,volume_utile
dig-01,Àncipa,2025-01-25,939.00,30410000.00,941.24,18254708.55,16254708.55
dig-03,Castello,2025-01-25,292.65,19493500.00,278.99,5779300.00,2251379.00
dig-07,Fanaco,2025-01-25,677.50,20700000.00,655.00,1910036.00,1323719.00
dig-09,Garcia (M. Francese),2025-01-25,190.00,61000000.00,174.76,12640000.00,6640000.00
dig-17,Piana Degli Albanesi,2025-01-25,609.00,25000000.00,600.95,7309406.89,5309406.89
dig-12,Leone,2025-01-25,828.00,4150000.00,824.03,2312000.00,1062000.00
dig-18,Poma,2025-01-25,195.60,72300000.00,179.38,19915000.00,11871264.00
dig-20,Prizzi,2025-01-25,638.00,9250000.00,629.51,2348405.05,848405.05
dig-21,Ragoleto,2025-01-25,326.00,17160198.00,311.45,5385731.00,1885443.00
dig-22,Rosamarina,2025-01-25,164.00,73034250.00,140.57,14219207.88,5325251.88
dig-25,Santa Rosalia,2025-01-25,378.05,21080000.00,364.70,7863159.00,2869603.00
dig-26,Scanzano,2025-01-25,517.00,7312775.00,515.37,5913917.88,4889251.88
dig-14,Ogliastro (Don Sturzo),2025-01-25,,,,,
