cod,diga,data,quota_autorizzata,volume_autorizzato,quota,volume,volume_utile
dig-01,Àncipa,2025-02-01,950.00,30410000.00,942.50,19584257.75,17584257.75
dig-03,Castello,2025-02-01,292.65,19493500.00,279.24,5945200.00,2426909.00
dig-07,Fanaco,2025-02-01,677.50,20700000.00,655.68,2104519.00,1518202.00
dig-09,Garcia (M. Francese),2025-02-01,190.00,61000000.00,174.81,12715000.00,6715000.00
dig-17,Piana Degli Albanesi,2025-02-01,609.00,25000000.00,600.95,7309406.89,5309406.89
dig-12,Leone,2025-02-01,828.00,4150000.00,824.26,2404000.00,1154000.00
dig-18,Poma,2025-02-01,195.60,72300000.00,179.57,20247500.00,12226913.00
dig-20,Prizzi,2025-02-01,638.00,9250000.00,629.75,2454107.81,954107.81
dig-21,Ragoleto,2025-02-01,326.00,17160198.00,311.56,5449116.00,1948828.00
dig-22,Rosamarina,2025-02-01,164.00,73034250.00,140.70,14405015.00,5528309.00
dig-25,Santa Rosalia,2025-02-01,378.05,21080000.00,364.65,7829103.00,2836631.00
dig-26,Scanzano,2025-02-01,517.00,7312775.00,515.29,5853267.00,4830482.00
