cod,diga,data,quota_autorizzata,volume_autorizzato,quota,volume,volume_utile
dig-01,Àncipa,2025-11-04,950.00,30410000.00,936.63,13737418.06,11737418.06
dig-03,Castello,2025-11-04,292.65,19493500.00,277.17,4623200.00,1084702.00
dig-07,Fanaco,2025-11-04,677.50,20700000.00,656.44,2343348.00,1757031.00
dig-09,Garcia (M. Francese),2025-11-04,190.00,61000000.00,170.56,6672000.00,672000.00
dig-17,Piana Degli Albanesi,2025-11-04,609.00,25000000.00,600.08,6574053.47,4574053.47
dig-12,Leone,2025-11-04,828.00,4150000.00,823.03,1912000.00,662000.00
dig-18,Poma,2025-11-04,195.60,72300000.00,177.16,16030000.00,7942753.00
dig-20,Prizzi,2025-11-04,638.00,9250000.00,626.74,1314152.57,0.00
dig-21,Ragoleto,2025-11-04,326.00,17160198.00,310.46,4834320.00,1334032.00
dig-22,Rosamarina,2025-11-04,164.00,73034250.00,142.23,16685022.00,7779269.00
dig-25,Santa Rosalia,2025-11-04,378.05,20000000.00,366.71,9285093.00,4272037.00
dig-26,Scanzano,2025-11-04,517.00,7312775.00,512.93,4195202.00,3154578.00
