cod,diga,data,quota_autorizzata,volume_autorizzato,quota,volume,volume_utile
dig-01,Àncipa,2025-03-09,950.00,30410000.00,948.28,25767866.43,23767866.43
dig-03,Castello,2025-03-09,292.65,19493500.00,283.64,9387200.00,5861496.75
dig-07,Fanaco,2025-03-09,677.50,20700000.00,660.20,3814554.00,3228237.00
dig-09,Garcia (M. Francese),2025-03-09,190.00,61000000.00,177.28,18272000.00,12272000.00
dig-17,Piana Degli Albanesi,2025-03-09,609.00,25000000.00,602.18,9271706.71,7271706.71
dig-12,Leone,2025-03-09,828.00,4150000.00,826.73,3478500.00,2228500.00
dig-18,Poma,2025-03-09,195.60,72300000.00,182.19,26522500.00,18470193.86
dig-20,Prizzi,2025-03-09,638.00,9250000.00,631.99,3574510.03,2074510.03
dig-21,Ragoleto,2025-03-09,326.00,17160198.00,315.67,8126495.00,4626207.00
dig-22,Rosamarina,2025-03-09,164.00,73034250.00,143.66,18959591.11,10066584.43
dig-25,Santa Rosalia,2025-03-09,378.05,21080000.00,370.25,12138015.00,7136209.00
dig-26,Scanzano,2025-03-09,517.00,7312775.00,516.33,6717894.43,5690814.61
