cod,diga,data,quota_autorizzata,volume_autorizzato,quota,volume,volume_utile
dig-01,Àncipa,2025-02-07,950.00,30410000.00,943.26,20394201.90,18394201.90
dig-03,Castello,2025-02-07,292.65,19493500.00,279.60,6172000.00,2653709.25
dig-07,Fanaco,2025-02-07,677.50,20700000.00,656.04,2213977.00,1627660.00
dig-09,Garcia (M. Francese),2025-02-07,190.00,61000000.00,174.80,12700000.00,6700000.00
dig-17,Piana Degli Albanesi,2025-02-07,609.00,25000000.00,600.96,7323342.81,5323342.81
dig-12,Leone,2025-02-07,828.00,4150000.00,824.46,2484000.00,1234000.00
dig-18,Poma,2025-02-07,195.60,72300000.00,179.56,20230000.00,12209412.75
dig-20,Prizzi,2025-02-07,638.00,9250000.00,629.90,2521716.08,1021716.08
dig-21,Ragoleto,2025-02-07,326.00,17160198.00,311.78,5575885.00,2075597.00
dig-22,Rosamarina,2025-02-07,164.00,73034250.00,140.80,14548486.97,5671781.06
dig-25,Santa Rosalia,2025-02-07,378.05,21080000.00,364.73,7883592.60,2891121.10
dig-26,Scanzano,2025-02-07,517.00,7312775.00,515.20,5785269.77,4762484.13
