cod,diga,data,quota_autorizzata,volume_autorizzato,quota,volume,volume_utile
dig-01,Àncipa,2025-11-10,950.00,30410000.00,936.30,13443319.50,11443319.50
dig-03,Castello,2025-11-10,292.65,19493500.00,277.47,4804700.00,1236204.00
dig-07,Fanaco,2025-11-10,677.50,20700000.00,656.32,2304038.00,1717721.00
dig-09,Garcia (M. Francese),2025-11-10,190.00,61000000.00,170.47,6564000.00,564000.00
dig-17,Piana Degli Albanesi,2025-11-10,609.00,25000000.00,600.01,6497039.10,4497039.10
dig-12,Leone,2025-11-10,828.00,4150000.00,822.68,1804000.00,554000.00
dig-18,Poma,2025-11-10,195.60,72300000.00,177.04,15820000.00,7645506.00
dig-20,Prizzi,2025-11-10,638.00,9250000.00,626.75,1317309.05,0.00
dig-21,Ragoleto,2025-11-10,326.00,17160198.00,310.49,4845139.00,1344851.00
dig-22,Rosamarina,2025-11-10,164.00,73034250.00,142.21,16654260.00,7711080.00
dig-25,Santa Rosalia,2025-11-10,378.05,20000000.00,366.69,9270334.00,4224778.00
dig-26,Scanzano,2025-11-10,517.00,7312775.00,512.67,4028084.00,2967579.00
dig-31,Gammauta,2025-11-10,500.00,2000000.00,497.72,1741137.65,239665.65
