cod,diga,data,quota_autorizzata,volume_autorizzato,quota,volume,volume_utile
dig-01,Àncipa,2025-02-20,950.00,30410000.00,947.22,24632941.39,22632941.39
dig-03,Castello,2025-02-20,292.65,19493500.00,282.16,8126800.00,4588927.75
dig-07,Fanaco,2025-02-20,677.50,20700000.00,658.58,3117276.00,2530959.00
dig-09,Garcia (M. Francese),2025-02-20,190.00,61000000.00,176.92,17416000.00,11416000.00
dig-17,Piana Degli Albanesi,2025-02-20,609.00,25000000.00,601.75,8519561.97,6519561.97
dig-12,Leone,2025-02-20,828.00,4150000.00,826.16,3222000.00,1972000.00
dig-18,Poma,2025-02-20,195.60,72300000.00,181.66,25150000.00,17088238.25
dig-20,Prizzi,2025-02-20,638.00,9250000.00,631.26,3182053.67,1682053.67
dig-21,Ragoleto,2025-02-20,326.00,17160198.00,315.18,7776219.00,4275931.00
dig-22,Rosamarina,2025-02-20,164.00,73034250.00,142.86,17667883.33,8774415.62
dig-25,Santa Rosalia,2025-02-20,378.05,21080000.00,368.98,11052330.80,6036028.30
dig-26,Scanzano,2025-02-20,517.00,7312775.00,516.35,6735235.50,5708362.57
