cod,diga,data,quota_autorizzata,volume_autorizzato,quota,volume,volume_utile
dig-01,Àncipa,2025-07-30,950.00,30410000.00,945.27,22545107.59,20545107.59
dig-03,Castello,2025-07-30,292.65,19493500.00,279.58,6159400.00,2392799.00
dig-07,Fanaco,2025-07-30,677.50,20700000.00,660.53,3968831.00,3382514.00
dig-09,Garcia (M. Francese),2025-07-30,190.00,61000000.00,176.74,17002000.00,11002000.00
dig-17,Piana Degli Albanesi,2025-07-30,609.00,25000000.00,602.17,9651924.69,7651924.69
dig-12,Leone,2025-07-30,828.00,4150000.00,826.06,3177000.00,1927000.00
dig-18,Poma,2025-07-30,195.60,72300000.00,180.74,22850000.00,13957769.00
dig-20,Prizzi,2025-07-30,638.00,9250000.00,631.76,3447611.45,1947611.45
dig-21,Ragoleto,2025-07-30,326.00,17160198.00,314.75,7476523.00,3926235.00
dig-22,Rosamarina,2025-07-30,164.00,73034250.00,144.93,21099434.00,11895222.00
dig-25,Santa Rosalia,2025-07-30,378.05,20000000.00,369.65,11616976.00,6249757.00
dig-26,Scanzano,2025-07-30,517.00,7312775.00,515.24,5815279.00,4572909.00
