cod,diga,data,quota_autorizzata,volume_autorizzato,quota,volume,volume_utile
dig-01,Àncipa,2025-11-30,950.00,30410000.00,935.22,12510214.00,10510214.00
dig-03,Castello,2025-11-30,292.65,19493500.00,277.87,5048700.00,1464051.00
dig-07,Fanaco,2025-11-30,677.50,20700000.00,656.23,2271588.00,1685271.00
dig-09,Garcia (M. Francese),2025-11-30,190.00,61000000.00,170.09,6108000.00,108000.00
dig-17,Piana Degli Albanesi,2025-11-30,609.00,25000000.00,599.73,6191174.50,4191174.50
dig-12,Leone,2025-11-30,828.00,4150000.00,821.80,1540000.00,290000.00
dig-18,Poma,2025-11-30,195.60,72300000.00,176.74,15295000.00,6990075.00
dig-20,Prizzi,2025-11-30,638.00,9250000.00,626.73,1310999.40,0.00
dig-21,Ragoleto,2025-11-30,326.00,17160198.00,310.50,4855958.00,1355670.00
dig-22,Rosamarina,2025-11-30,164.00,73034250.00,141.58,15690999.00,6565055.00
dig-25,Santa Rosalia,2025-11-30,378.05,20000000.00,366.42,9072340.00,4005254.00
dig-26,Scanzano,2025-11-30,517.00,7312775.00,512.20,3735112.00,2674485.00
dig-31,Gammauta,2025-11-30,500.00,2000000.00,496.59,1619099.70,117627.70
